,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,,,,,,,,,,,,,,,,,,,,,decimal degrees,decimal degrees
,Department of Health,,,,,38,2017-32,011-0048-2023-0270,0,20,11/4/2020,Oahu,,120,Unmanaged forest,2018-2024,,1881-1947,,1950-2014,,,,,Mulch 2,536.69,coffee and weeds,Commercial veg/fruits,Synthetic blend,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,,Disc,,No,No,Surface Drip,Bare soil,Lolekaa,,,Conventional,PIAL,,Mollisol,Gypitorrert,,LAC,,1.9,33.940,109.58,96.72,0.09,8.54,209.74,103.19,15.01,0.81,0.13,,0.72,0.46,66.17111633,#N/A,#N/A,0.36,#N/A,16.27349455,#N/A,778.07,12.425,,0.35,,,,10/4/2023,,8,,73,,,,,,78,,,,445,,,,,,,,19.394483,-156.674971
842,CIG-2020,Round 2,,,,2022-0025,2017-33,001-0004-2017-0023,0,15,6/3/2019,Big Island,,3.79,Cropland,1897-2023,Unmanaged forest,,,,,,,,Twin Bridge Conservation Cover 5,12,Nothing/bare fallow,No change,Synthetic blend,,,,,,,,,,None,Yearly,Yes,,None,Bare soil,Lolekaa,,,Conventional cropland,None,,Oxisol,Gypitorrert,,HAC,,1.37,121.443,36.94,28.73,-0.41,6.8,158,123.03,,0.82,0.35,0.64,0.12,1.12,,#N/A,0.00,0.14,,#N/A,#N/A,29.01,10.975,#N/A,37.64,,Done,,3/9/2022,scoring_function_noPIALv2,10/15/2024,55,,,,,,,,,,,,,,,,,,,21.848492,-156.127462
1682,CIG-2020,Baseline,,,Lease,2024-0107,2017-34,017-0145-2023-0137,0,15,11/07/2023,Big Island,,60,Pasture,1950-2021,,1990-2005,,#N/A,Pineapple or sugarcane plantation,,,,75,,Unmanaged forest,No change,,,,,,,,,,,None,Other,No,,Sprinkle,,San Anton,,,Protected forest,PIAL,,Andisol,Gypitorrert,,HAC,,1.21,56.32,41.59,14.99,76.39,7.82,,80.15,19.43074115,0.16,#N/A,0.57,0.80,,7.052733711,#N/A,1.50,,25.32,#N/A,4.08,86.5,9.836363636,#N/A,5.44,,Done,28.85,#N/A,0.97,10/15/2024,,,,,,#N/A,,80,,,3.17,,,,,,,,,20.491797,-157.458578
1172,AFRI-2020,Round 2,,,,2025-0088,2017-35,011-0029-2022-0060,0,,9/29/2024,Kauai,,1ac,Cropland,2012 to present,Unmanaged forest,,#N/A,,,,,,P1-control-No cover crop,undefined,Unmanaged forest,No change,Synthetic blend- liquid,,,,,#VALUE!,,#VALUE!,,#VALUE!,"Disc harrow, Roto",,,No,None,,Ookala,,,Does not apply,PIAL,,Vertisol,Haplustox,,LAC,,2.84,62.1,219.0843058,45.13,36.07,8.59,,98.04,8.07,0.41,0.79,0.09,0.33,,63.16499528,#N/A,0.50,1.02,#N/A,#N/A,#N/A,31.55,9.444444444,#N/A,5.73,,Done,27.3,7/9/2024,scoring_function_noPIALv2,10/15/2024,69,,,1998,,,1.11,,,,,,,#N/A,,,,,,21.384909,-155.319693
400,Kākoʻo ʻŌiwi,,,,Own,2025-0217,2017-36,011-0048-2024-0310,0,15,6/25/2021,Pohnpei,,,Cropland-banana,2010-2019,Cropland,#N/A,Unmanaged forest,,,,,,Mulch 1,,Orchard/tree crop,No change,None,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,Yes,Sprinkle,Plastic Mulch,Humatas,,,Pasture,PIAL,,Mollisol,Acroperox,Argid,PNCM,,17.59,305.02,56.79,40.11606631,4.62,5.28,294,82.88,,#N/A,0.55,,0.05,1.02,78.57574094,0.07,#N/A,0.45,#N/A,#N/A,#N/A,156.76,10.94,#N/A,0,,,,7/10/2024,scoring_function_noPIALv2,,352,,,313,265,,,,422,4.22,,702,,,,#N/A,,,,19.804329,-157.840771
1547,Client Projects,,,,Lease,2025-674-0046,2017-37,007-0029-2019-0234,0,15,08/21/2024,Oahu,,22,Cropland,2003-2023,Pineapple or sugarcane plantation,#N/A,Pasture,NA,,,,,EEA Fortuna 7,3.5,Nothing/bare fallow,Orchard/tree crop,Synthetic blend,0-250 lb/ac/yr,,#VALUE!,,,,,,,None,More than twice,No,No,None,,Waimea,,,Conventional cropland,PIAL,High,Inceptisol,Haplocambid,Ustoll,LAC,,2.13,36.435,218.16,28.05,129.65,7.06,154,126.24,2.36,0.34,0.99,0.54,0.57,,58.38,#N/A,#N/A,0.21,#N/A,#N/A,17.30,,8.8125,#N/A,5.53,,Done,12.64,6.4,scoring_function_noPIALv2,10/15/2024,,,,,#N/A,94,0.93,69,189,10.75,0.91,683,,,,,,,,21.285484,-157.144314
1687,UROP-2019,Baseline,,,Other,252,2017-38,011-0047-2024-0205,0,50,12/13/2023,Oahu,,128,Cropland,30-40,,1990-2005,,,,,,,,6.5,Nothing/bare fallow,Commercial veg/fruits,None,"500-1,000 lb/ac/yr",,250-500 lb/ac/yr,,,,,,,None,n/a,No,Yes,None,Living mulch,La Luna,,,Agroforestry,None,,Mollisol,Palehumult,,Sand,,2.46,,126.99,,24.78,7.44,158.7233333,151.75,10.53,#N/A,0.32,0.08,0.85,0.50,,#N/A,#N/A,,#N/A,#N/A,#N/A,53.17,10.23,#N/A,,,Done,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,3/9/2022,scoring_function_noPIALv2,,,,,,,45,,,175,#N/A,,,,,,,,,,20.655934,-157.767638
1572,AFRI-Puerto Rico,Baseline,,,Lease,2024-0529,2017-39,011-0011-2025-0020,0,5,2/19/2024,Oahu,,258,Agroforestry,2022-2024,,1950-1985,Pineapple or sugarcane plantation,,,,,,,.023 acres,Commercial veg/fruits,Commercial veg/fruits,None,,,,,,,,,,None,,,Yes,drip irrigation,Bare soil,Kohala,,,Pasture,None,,Vertisol,Haplustox,Humult,HAC,,1.25,25.060,93.56,31.37,111.89,5.82,311.00,59.24,1.001293919,,0.72,,0.99,1.23,,0.03,1.00,0.20,#N/A,50.50,11.76,35.3,9.371681416,#N/A,1.11,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,,0.46,10/15/2024,284,17,2453,#N/A,,456,,,391,,,#N/A,17.3,,,,,,,20.804100,-158.781620
1134,Department of Health,Baseline,,,,2025-0059,2017-40,011-0123-2023-0019,0,15,7/7/21,Puerto Rico,,28,crop land,2006-current,Cropland,1973-2013,#N/A,NA,,,,,34,,Forage,Commercial veg/fruits,None,#VALUE!,,,,,,,,#VALUE!,,n/a,No,No,None,"Mulch (woodchip, leaf litter, other organic material) & weeds",Tantalus,,,Does not apply,PIAL,,Mollisol,,Ustoll,LAC,,,33.87,46.99,50,69.72,7.05,548.86,95.19,22.04,0.64,0.69,0.65,0.01,1.02,,#N/A,0.25,0.69,,,6.11,104.21,10.60788942,8.45,36.21,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7.8,,10/15/2024,,22,2943,,,,,,,6.67,#N/A,,,,,,,,,21.832313,-155.519399
1722,CIG-2020,,,,,2024-0114,2017-41,011-0281-2024-0188,0,15,7/1/2024,Maui,,5.8,Cropland,1985-2021,No Change,#N/A,,,,,,1995-2014,18,0.11 ac,Forage,,Synthetic blend,N/A,,,,,,#VALUE!,,,None,,No,Yes,Surface Drip,Weeds,Lualualei,,,Agroforestry,PIAL,Low,Mollisol,Paleustoll,Ustoll,HAC,,1.60,28.01,87.78,24.46,,7.52,638.39,122.57,1.02,0.44,,#N/A,0.70,1.27,87.77,#N/A,#N/A,,#N/A,#N/A,10.75,181,9.899082569,23.30,4.84,#REF!,,20.67,,scoring_function_noPIALv2,10/15/2024,,,,,314,,,,,,,#N/A,,,,,,,,20.656213,-155.815220
203,CIG-2020,,,,Own,2022-0041,2017-42,011-0085-2024-0442,15,15,4-20-2022,Oahu,,55,Cropland,2013-current,Pineapple or sugarcane plantation,#N/A,#N/A,1850-1950,,,,,48,.008 Acres,onion,,Synthetic blend,,,,,,,,,,None,More than twice,,Unknown,,,Kapua,,,Protected forest,PIAL,,Mollisol,Gypitorrert,Udand,HAC,,1.57,13.66,196.5336214,27.82,1.11,6.39,2642.46,97.02,56.33895211,#N/A,0.10,0.78,0.06,,,#N/A,#N/A,0.16,5.34,,#N/A,48.92,10.36,#N/A,28.76,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,7/9/2024,scoring_function_noPIALv2,10/15/2024,,49,4947,,,,,,,,,,,,,,,,,19.888024,-155.499502
1393,C-Maiki,,,,Own,2023-0251,2017-43,017-0043-2021-0591,0,15,8/30/2023,Oahu,,32,Cropland,,Unmanaged forest,1970- 2019,#N/A,,,,,,49,SITE 2 A,Row crop monoculture,Weeds/Unmanaged,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,Roto,More than twice,No,Yes,None,Weeds,Nawahine,,,Agroforestry,None,,Andisol,Palehumult,Torrert,LAC,,16.39,61.24,17.52,40.02,10.12,,,79.03,32.56,0.13,,0.74,0.62,#N/A,,1.02,,0.21,80.8,23.36846587,144.62,#N/A,10.64,10.33006997,3.20,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,5.5,0.61,,142,,,,,,0.67,,#N/A,,,,,,,40.50781696,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,19.532252,-157.765838
1713,AFRI-Hawaii,Baseline,Control,,Duamed Colon,2022-0154,2017-44,011-0022-2023-0052,0,15,9/27/2023,Big Island,,19,Unmanaged forest,2006-current,Pasture,2014-2022,#N/A,,,1850-1950,,,,,Commercial veg/fruits,Commercial veg/fruits,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,#VALUE!,,,Disc,,Yes,No,None,Weeds,Alapai,,,,PIAL,,Mollisol,Eutrustox,,HAC,,1.23,112.509,32.51,35.57650463,163.7,,242,91.85,2.68,#N/A,,0.36,0.16,,#N/A,0.00,1.25,0.10,28.49,61.04,16.49,196,10.58,#N/A,6.95,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,,0.37,,,,,,182,,,,135,,,,,,,,,,,20.030394,-155.597297
900,Kākoʻo ʻŌiwi,WSARE-2019,,,Other,2022-0206,2017-45,011-0001-2024-0316,0,15,4/7/21,Big Island,,53,Orchard,2022-2024,Cropland (corn),,,#N/A,,,,,7-2,,Forage,Unmanaged forest,None,"500-1,000 lb/ac/yr",,,,,,,,,None,Yearly,Yes,Yes,None,Bare soil,Waialua,,,Protected forest,PIAL,,Oxisol,Haplustert,Ustoll,LAC,,5.34,52.728,23.79,22.58,0.44,6.23,329,79.83,12.2004,0.02,0.51,0.29,0.64,,,2.55,1.00,0.25,#N/A,12.33,#N/A,169.52,9.18,#N/A,,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,0.12,10/15/2024,,,,,68,,,,,11.76,,,,#N/A,,,,,,19.122381,-154.904932
2001,CIG-2020,,,,Own,2023-0331,2017-46,011-0074-2022-0076,0,15,2/18/2022,,,4,Cropland,2022-2024,Unmanaged forest,,,1950-1980,,,,,,5.62,Commercial veg/fruits,Orchard/tree crop,None,,,"500-1,000 lb/ac/yr",,,,,,,None,Yearly,No,No,None,Weeds,Lualualei,,,Conventional cropland,,,Oxisol,Palehumult,Torrert,LAC,,15.90,447.117,44.39,,0.72,6.62,954.91,66.73,0.84,0.91,0.87,,0.40,,51.34217675,0.16,#N/A,0.06,#N/A,#N/A,23.93,40.19,13.44,#N/A,6.96,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,7.3,,10/15/2024,112,,,,#N/A,,,,408,,,,,,,,,,,22.171796,-160.012600
961,,,,,,2023-0365,2017-47,007-0031-2020-0277,0,15,8/7/2020,Oahu,,5 acres,Unmanaged/abandoned ag land,1980-2021,Pineapple or sugarcane plantation,,Pasture,#N/A,,,,,30,2,,Managed forest,Manures,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,,Yes,Unknown,Sprinkle,"Mulch (woodchip, leaf litter, other organic material) | Weeds",Molokai,,,Conventional cropland,PIAL,Low,Alfisol,Acrudox,,HAC,,3.33,23.610,34.06,17.01,1.86,6.65,959,95.12,0.79,0.87,0.09,0.02,0.05,0.83,#N/A,0.02,#N/A,0.72,,13.75623696,26.57,,10.63,5.087017772,44.05,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,7.8,,10/15/2024,,,1508,,,,,,,,,669,#N/A,,,,,,,20.661532,-158.400845
1070,HICSC,WSARE-2019,,,Own,2022-0013,2017-48,008-0023-2018-0336,,15,2/5/2020,Oahu,,12,Cropland,,Cropland,#N/A,,#N/A,,,,,HT87 Perennial Peanut 4,10 acres,Protected forest,Commercial veg/fruits,None,0-250 lb/ac/yr,,#VALUE!,,,,,,,,More than twice,,Yes,Sprinkle,Plastic Mulch,Makaweli,,,Conventional,None,Low,Andisol,Haplohumult,Perox,HAC,,13.13,34.39,21.44,40.31,28.41,,253.24,66.88,19.45,0.18,0.82,0.60,0.93,,,0.50,#N/A,0.1,57.92113778,#N/A,#REF!,66.59,9.107142857,10.81565632,1.4,,In progress,https://docs.google.com/spreadsheets/d/1vLahl-Zrg3l4zW2P4mJ5R681o6WIAZl2fB0l5l58x-s/edit#gid=1076234646,3/9/2022,,10/15/2024,,,,,364,76,,#N/A,,14.47,10.92,,,,1.4,,,,,20.092109,-156.667219
1111,CIG-2020,Baseline,,,Own,2022-0137,2017-49,016-0097-2022-0186,5,20,8/12/2019,Big Island,,6,Cropland,1970-2019,No Change,#N/A,Pineapple or sugarcane plantation,,,,,,P10-cover crop- sogrhum sudan. Sorghum x drummondii. (Steud.),0.5,Protected forest,Plantain and taro,Synthetic blend,,,,,,,,,#VALUE!,Disc,,Yes,Yes,None,Weeds,Kemole,,,Does not apply,PIAL,,Vertisol,Eutrustox,Humult,LAC,,4.66,98.1,43.42,42.14756065,0.00,7.06,623.61,,1.87,0.65,0.95,,#N/A,1.20,22.12,,3.00,0.51,#N/A,#N/A,#N/A,,,,4.31,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,scoring_function_noPIALv2,17,,7,,,#N/A,,,,446,,,571,,,7.3,#REF!,10,,,20.233155,-156.843655
1656,Hannah Hubanks,Baseline,,,,298,2017-50,004-0152-2023-0174,0,15,2/18/2022,Pohnpei,,5,Pasture,2019-2021,Cropland,,#N/A,,,,,,KMR KMC_KCE10 Sample 1,4.9,Agroforestry,Weeds/Unmanaged,Bone/blood meal,,,,,#VALUE!,,,,,,,Yes,No,Surface Drip,Bare soil,Kemole,,,Agroforestry,PIAL,,Ultisol,Gypitorrert,Ustoll,HAC,,18.3,350.635,36.29,5.20,108.83,6.53,243.00,74.25,26.91,0.38,0.20,,0.73,,78.74067205,0.85,,0.85,#N/A,59.44265404,#N/A,39.09,,,3.06,#REF!,Done,,6.9,scoring_function_noPIALv2,10/15/2024,207,,2368,,375,,0.66,41,189,,,,,,,,,,,21.379751,-155.022769
458,Mark Thorne,,Control,,Duamed Colon,447,2017-51,025-0019-2024-0332,0,15,7/5/2024,Oahu,,2,Protected forest,2019-curent,Unmanaged/abandoned ag land,not available,No Change,,,,,,58,0.044,Dryland root crops,No change,none,,,#VALUE!,,,,,,#VALUE!,Mulboard,,Yes,,None,Bare soil,Coto,,,Organic,None,,Mollisol,Haplustoll,Ustand,LAC,,1.79,53.86,61.12,76.36,35.64,7.73,280,,8.56,0.86,0.17,0.17,,0.92,,,#N/A,0.4,103.10,15.56,0.11,108.78,14.98,17.56656046,12.37,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,,scoring_function_noPIALv2,10/15/2024,,,,2275,,245,,,,#N/A,,,,,,,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,20.366404,-158.560858
220,AFRI-2020,Round 2,,,,2022-0156,2017-52,011-0074-2023-0309,0,15,2/5/2024,Maui,,229.99,Unmanaged forest,Agroforestry,Unmanaged/abandoned,1994-2013,,#N/A,,,,,4-1,0.25,Sakau,Weeds/Unmanaged,None,"500-1,000 lb/ac/yr",,,,,,,,,None,,Yes,No,Surface Drip,,Lualualei,,,Conventional cropland,PIAL,,Oxisol,Hydrudand,,PNCM,,1.25,21.15,,7.83,31.7,5.14,,69.6,25.93021399,0.30,#N/A,#N/A,0.34,1.22,14.26,#N/A,,1.09,132,3.55426107,,84.00,10.46153846,14.40809655,,,Done,#N/A,7/9/2024,0.03,#N/A,,,,2499,,,0.67,,219,,3.31,812,,,,,,,,20.574766,-160.113379
180,AFRI-2020,WSARE-2019,,,,2025-0205,2017-53,024-0237-2023-0453,0,15,12/2/2022,Oahu,,29,Protected forest,2000-Present,Pig farming,#N/A,#N/A,,,,,,,2,Orchard/tree crop,Commercial veg/fruits,None,0-250 lb/ac/yr,,,,,,,,,Disc,,No,Yes,None,Bare soil,Lualualei,,,Protected forest,None,,Aridisol,Gypitorrert,Ustox,,,2.47,100.16,31.85,42.80,26.10,6.09,1751,91.22,,0.09,,0.73,0.17,,60.48897411,0.09,0.50,1.14,,#N/A,0.49,362,11.20,#N/A,18.57,,,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,4.8,#N/A,12,200,,,,,18,,,,4.09,,,,,#N/A,,,,,21.108987,-156.738911
1275,CIG-2020,,,,Lease,519,2017-54,001-0003-2017-0016,0,15,7/10/2024,Oahu,,22.8,crop land,2000-Present,Unmanaged forest,1976-2016,#N/A,#N/A,Unmanaged/abandoned,,,,Cowpea 5,200 ft,Commercial veg/fruits,No change,None,#VALUE!,,,Synthetic blend,#VALUE!,,,,,None,,,No,None,Weed Mat,La Luna,,,Conventional cropland,None,SKIP,Andisol,Gypitorrert,,LAC,,1.57,92.260,135.05,32.76,,7.74,692.33,107.25,1.236581989,0.78,0.97,0.23,0.32,1.13,,2.01,0.25,0.91,#N/A,14.41145818,#N/A,,15.4532256,155.95,2.99,#N/A,,#N/A,3/9/2022,scoring_function_noPIALv2,10/15/2024,,,3773,,#N/A,59,,,#N/A,,7.66,,,,,,246,232,,21.873061,-156.363780
41,SSH,,,,Lease,293,2017-55,002-0019-2019-0138,0,15,2/5/2021,Big Island,,0.49,Cropland,2021,Pineapple or sugarcane plantation,,#N/A,1985-2000,,,,,Kaluaolono 3,,Orchard/tree crop,Weeds/Unmanaged,None,250-500 lb/ac/yr,,,,,,,,,None,Other,,Yes,Surface Drip,Bare soil,Kemole,,,Unmanaged forest,None,,Oxisol,Gypitorrert,Cambid,HAC,,1.55,31.839,54.49,11.45,91.92,6.52,1311.37,109.14,31.94421613,0.11,0.13,0.30,0.88,,39.38,10.79,0.00,,#N/A,,64.43,27.59,9.355932203,,36.35,,,,8,scoring_function_noPIALv2,10/15/2024,,,,1283,,,,42,,#N/A,3.14,228,,,,,,,,22.057548,-156.915201
,CIG-2020,Round 1,,,Other,2021-0628,2017-56,023-0011-2024-0017,0,15,4-20-2022,Puerto Rico,,536.69,Managed forest,1992-2025,Pineapple or sugarcane plantation,unknown,,#N/A,,,,,HT87 Control 3,50 ft,Orchard/tree crop,,Synthetic blend,,,,,,,,,#VALUE!,None,Twice yearly,Yes,No,None,Weeds,,,,Unmanaged forest,PIAL,,Andisol,Haplustoll,Ustand,HAC,,4.3,,96.43,44.83820627,122.84,7.53,1318.65,81.37,3.05173076,0.22,0.86,,0.54,,53.31,0.32,,0.18,#N/A,23.95788484,#N/A,109.86,13.32692308,7.08,8.72,,In progress,#N/A,6.2,scoring_function_noPIALv2,10/15/2024,,,,,,#N/A,0.35,,,,2.22,,,,,,,,,20.288062,-156.022223
802,CIG-2020,,,,,2024-0004,2017-57,017-0001-2023-0091,0,15,8/7/2020,Pohnpei,,,Unmanaged forest,2021-current,Pasture,,#N/A,1950-1975,,,,,P8-control,5,Commercial veg/fruits,Commercial veg/fruits,Bone/blood meal,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,,More than twice,Yes,Yes,None,Weeds,Kohala,,,Conventional cropland,PIAL,,Ultisol,,Udept,HAC,,10.70,37.75,16.29,7.81,229.28,7.83,616,74.22,53.22,0.71,0.40,#N/A,0.10,1.02,#N/A,#N/A,3.50,0.15,#N/A,75.44788658,#N/A,,10.85,#N/A,5.09,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,#N/A,10/15/2024,,75,,901,,,0.74,,,11.27,,,,,,,,,,21.632368,-155.023057
695,Hannah Hubanks,,,,,2023-0392,2017-58,016-0040-2021-0577,0,15,11-04-18,Puerto Rico,,14,Cropland,,Cropland,#N/A,,1950-1980,,,,,95,2,Unmanaged forest,Row crop monoculture,Manures,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,#VALUE!,,,Disc,n/a,Yes,Yes,Sprinkle,Weed Mat,Coto,,,Conventional cropland,PIAL,,Aridisol,#N/A,Ustox,HAC,,,260.513,48.3,,64.13,5.81,329.67,120.19,1.387665198,0.93,0.71,0.13,0.13,0.83,,#N/A,#N/A,1,#N/A,#N/A,#N/A,45.29,10.56,#N/A,25.12,,Done,,#N/A,,10/15/2024,89,,,242,,34,,,,,,,,,,,,,,22.174357,-159.401317
1790,CIG-2020,,,,,2024-0424,2017-59,001-0001-2017-0003,0,15,8/27/2024,Puerto Rico,,14,Unmanaged/abandoned ag land,2022-2024,Pasture,#N/A,1880-2024,,,NA,,,WG,,Forage,,Bone/blood meal,Weed mat,,,,,,,,#VALUE!,Mulboard,More than twice,Yes,Yes,Sprinkle,Bare soil,Kaiwiki,,,,PIAL,,Vertisol,Haplustoll,Ustand,LAC,,5.7,362.269,79,58.62,23.82,,183,92.37,61.05,0.55,0.85,0.48,0.82,1.09,,7.49,0.00,0.17,#N/A,184.1553912,0.49,12.08,8.6,11.06,12.34,,Done,35.6,,scoring_function_noPIALv2,10/15/2024,,,,979,,,0.78,,,,,1104,,,,#REF!,,,,21.938066,-160.005686
1149,CIG-2020,,,,,2023-0048,2017-60,011-0124-2025-0091,0,15,7/9/2024,Kauai,,17,Orchard,2022-2024,Cropland (corn),not available,#N/A,,,,,,KMR KMC_KCE10 Sample 6,.023 acres,Orchard/tree crop,Commercial veg/fruits,None,250-500 lb/ac/yr,,,,#VALUE!,,,,,Disc,More than twice,Yes,Yes,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Lualualei,,,Organic cropland,None,,Andisol,Acroperox,Ustox,HAC,,,14.62,66.53,65.44,36.88,7.68,255.00,130.18,3.9894175,1.00,0.45,0.40,0.77,0.95,61.89157481,#N/A,#N/A,0.18,15.81,#N/A,#N/A,670.41,10.00,#N/A,32.43,,In progress,,7/8/2024,scoring_function_noPIALv2,8,,12,,,,,,,,,,,,,,#REF!,,,,20.225066,-159.183674
1635,Department of Health,,,,,2024-0390,2017-61,024-0227-2023-0443,0,15,2/19/2024,Puerto Rico,,,Cropland,2018-2022,Pineapple or sugarcane plantation,,Pineapple or sugarcane plantation,1890-1990,,,,,,2,Commercial veg/fruits,Orchard/tree crop,Synthetic blend,,,,,#VALUE!,,,,,None,,Yes,Yes,None,Weeds,Lualualei,,,Protected forest,PIAL,,Vertisol,,Ustoll,HAC,,3.66,44.877,32.06,99.17,12.52,6,,93.16,9.795689896,#N/A,0.17,0.65,#N/A,0.74,,#N/A,2.00,0.14,#N/A,#N/A,#N/A,177,12.21,10.96615342,7.39,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,10/4/2023,scoring_function_noPIALv2,,,,,230,,229,,,,3.57,,,#N/A,,,,,,,19.079717,-156.270975
1184,SSH,Round 3,,,Own,2024-0028,2017-62,017-0043-2021-0624,0,15,12/16/2021,Big Island,,27,Pineapple or sugarcane plantation,2019-curent,Unmanaged/abandoned,#N/A,,#N/A,,,,,139,0.044,Commercial veg/fruits,Row crop monoculture,Bone/blood meal,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,,None,Other,No,No,None,Weeds,Makiki,,,Conventional cropland,None,,Mollisol,Endoaquept/Palehumolt,Torrox,HAC,,3.91,33.178,63.24,49.31,41.44,6.57,762,,27.2,0.18,,,#N/A,,#N/A,#N/A,0.10,0.1,#N/A,#REF!,#N/A,122.58,13.57142857,#N/A,2.15,,Done,,3/9/2022,0.34,,,,,,396,,,41,,,2.24,,1.23,,,,,,,20.547722,-157.917443
543,Magoon,,,,Own,2023-0253,2017-63,011-0022-2023-0033,0,15,9/19/2023,Maui,,,Unmanaged forest,2019-2022,Pineapple or sugarcane plantation,2006-2011,#N/A,,,,,,Lydgate 2,2.1,Agroforestry,No change,Compost,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,,No,No,None,Bare soil,Fraternidad,,,Conventional cropland,None,,Mollisol,Eutrustox,Ustand,HAC,,7.96,127.36,44.37,55.51,7.87,,2350.08,139.76,1.83,0.79,,#N/A,0.47,,,2.10,#N/A,0.71,77.59,,4.42,13.04,,8.101535945,,,Done,11.9,8.1,0.34,11,100,,4102,,183,,#N/A,,,,,,,,,,,,,21.509517,-155.924454
1727,CIG-2020,,,,Lease,420,2017-64,001-0003-2017-0017,0,15,11/07/2023,Oahu,,undefined,Agroforestry,2022-2023,Pineapple or sugarcane plantation,#N/A,#N/A,,,,,,52,,Silvopasture,,Manures,,,,,,,,,,None,N/A,No,Yes,Surface Drip,Weeds,Kaipoioi,,,Pasture,PIAL,,Mollisol,Palehumult,Aquept/Humolt,HIST,,1.31,184.81,14.1,15.76,32.53,7.86,187.7570621,54.22,39.91491491,0.22,#N/A,0.37,,1.24,39.28115443,2.84,0.50,0.44,#N/A,#N/A,18.24,,9.12,,0.67,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,3/9/2022,,,,,#N/A,,,,0.96,,,6.12,7.01,,,17,,,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,19.858677,-155.934615
