,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,
1682,CIG-2020,Baseline,,,Lease,2024-0107,2017-34,017-0145-2023-0137,0,15,11/07/2023,Big Island,Synthetic Big Island Site 523,,23,Cropland,,Unmanaged/abandoned,,#N/A,1950-1980,,,,,96,,Orchard/tree crop,No change,None,,,,,,,#VALUE!,,,None,,,Yes,None,"Mulch_(woodchip_leaf_litter_oth,Weeds",,21.017169,-159.090381,,,Pasture,PIAL,,Aridisol,Gypitorrert,Argid,LAC,,2.54,551.686,207.74,,4.28,5.79,331,42.34,37.12,0.77,#N/A,#N/A,0.57,0.98,,#N/A,#N/A,0.16,#N/A,3.284816491,#N/A,55.32,10.04,#N/A,7.27,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,10/4/2023,scoring_function_noPIALv2,
1172,AFRI-2020,Round 2,,,,2025-0088,2017-35,011-0029-2022-0060,0,,9/29/2024,Kauai,Synthetic Kauai Site 361,,2,Orchard,2013-current,,#N/A,,,,,,,LE-Pasture-3C,0.001,Protected forest,Weeds/Unmanaged,None,,,,,,,,,,None,,No,No,,Weeds,Hilo,21.859248,-159.772012,,,Organic cropland,None,high,Ultisol,Palehumult,Ustox,HAC,,6.9,30.80,32.06,,-0.02,6.76,358,81.74,0.66,0.21,0.30,0.74,0.16,,30.23361855,0.00,17.00,0.15,#N/A,#N/A,#N/A,103.75,15.75,7.96,3.59,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234684,7.9,scoring_function_noPIALv2,
400,Kākoʻo ʻŌiwi,,,,Own,2025-0217,2017-36,011-0048-2024-0310,0,15,6/25/2021,Pohnpei,Synthetic Pohnpei Site 423,,1.6 ac,Agroforestry,2022-2024,Unmanaged/abandoned ag land,2007-2012,,1889-1949,,,,,,,Weeds/Unmanaged,No change,Synthetic blend,,,,,,,,,#VALUE!,,,Yes,Yes,Surface Drip,Bare soil,Kohala,21.571495,-155.107931,,,Conventional cropland,PIAL,High,Andisol,Haplohumult,Ustand,HAC,,6.07,24.90,114.48,10.44,4.96,,554.07,183.17,,0.05,0.25,#N/A,0.40,#N/A,,0.97,#N/A,0.24,49.91,19.92811997,#N/A,35.85,,#N/A,7.36,,Done,,7.6,scoring_function_noPIALv2,10/15/2024
1547,Client Projects,,,,Lease,2025-674-0046,2017-37,007-0029-2019-0234,0,15,08/21/2024,Oahu,Synthetic Oahu Site 560,,300 acres,Cropland,1970-2019,Cropland,1949-2019,Unmanaged/abandoned,unknown,,,,,,0.06 acres,Orchard/tree crop,Commercial veg/fruits,Biochar,"500-1,000 lb/ac/yr",,#VALUE!,,,,,,#VALUE!,Disc,,No,No,None,Bare soil,Ookala,21.437515,-158.134907,,,Agroforestry,PIAL,,Oxisol,,Ustox,HAC,,11.26,249.6,41.09,7.45,12.84,7.52,281,120.19,6.54,0.81,0.37,0.87,#N/A,,38.79,0.11,0.13,1.13,,14.36274534,#N/A,18.91,11.14,7.639921881,3.98,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,10/4/2023,scoring_function_noPIALv2,10/15/2024
1687,UROP-2019,Baseline,,,Other,252,2017-38,011-0047-2024-0205,0,50,12/13/2023,Oahu,Synthetic Oahu Site 059,,2,Unmanaged/abandoned,,Unmanaged/abandoned,,,#N/A,,,,,Cacao Block,0.25,Cover crop/legumes-canavalia,Unmanaged forest,Synthetic blend,"500-1,000 lb/ac/yr",Gypsum,#VALUE!,,,,,,,None,,Yes,No,None,Weeds,Lolekaa,21.501014,-157.618993,,,Pasture,None,,Entisol,,Torrert,HAC,,,59.837,78.2691775,10.57,202.46,7.17,2666.38,79.6,17.68,0.86,0.72,0.96,0.31,,,3.46,3.00,0.49,23.39,#N/A,#N/A,,16.75,18.20358164,0.09,,Done,,3/9/2022,,10/15/2024
1572,AFRI-Puerto Rico,Baseline,,,Lease,2024-0529,2017-39,011-0011-2025-0020,0,5,2/19/2024,Oahu,Synthetic Oahu Site 220,,18,Plantain,1975-2024,Pig farming,1994-2013,,#N/A,,,,,,2,Row crop monoculture,Forage,None,"500-1,000 lb/ac/yr",,,,,,,,#VALUE!,None,,No,Yes,Sprinkle,"Mulch (woodchip, leaf litter, other organic material)",Makiki,21.588647,-157.737847,,,Organic cropland,PIAL,33.68,Vertisol,Haplustoll,Torrert,HAC,,14.68,305.156,105.92,11.16,24.70,8.29,,94.28,,1.00,0.49,0.88,0.78,0.86,9.61,#N/A,0.50,0.40,23.32,33.26567635,#N/A,36.17,11.94871795,11.22709368,21.15,#REF!,,,7.8,0.34,7
1134,Department of Health,Baseline,,,,2025-0059,2017-40,011-0123-2023-0019,0,15,7/7/21,Puerto Rico,Synthetic Puerto Rico Site 624,,10 acres,Cropland,2017-current,Agroforestry,#N/A,Unmanaged/abandoned,#N/A,,,,,Kona Tiki Control 4,60,Nothing/bare fallow,No change,Synthetic blend,,,,,,,,,,None,,No,Yes,Surface Drip,Weeds,Wahiawa,19.581427,-154.795590,,,Conventional cropland,PIAL,,Oxisol,Gypitorrert,,HAC,,2.11,97.01,12.72,13.30131543,183.06,6.59,279,144.89,48.97,0.21,0.64,,0.94,1.37,68.02240896,,,0.29,#N/A,#N/A,8.75,35.63,12.70454545,#N/A,2.24,,,,3/9/2022,0.33,8
1722,CIG-2020,,,,,2024-0114,2017-41,011-0281-2024-0188,0,15,7/1/2024,Maui,Synthetic Maui Site 810,#N/A,6,Cropland,100 yr+,Cropland (corn),1891-1971,,,,,vanna grass,,P5-Cover Crop,undefined,Cover crop/legumes,Commercial veg/fruits,None,,,#VALUE!,,#VALUE!,,,,,None,,No,Yes,None,"Mulch (woodchip, leaf litter, other organic material)",Waialua,20.595129,-156.688798,,,Mixed conventional and organic,None,,Vertisol,Calciargid,Ustox,HAC,,2.07,,71.90301468,51.12,133.55,6.94,324,,72.07996266,0.92,0.82,0.24,0.06,,,0.16,0.50,0.21,#N/A,43.2113564,1.43,38.32,9.833333333,#N/A,4.68,#REF!,Done,,3/9/2022,,10/15/2024
203,CIG-2020,,,,Own,2022-0041,2017-42,011-0085-2024-0442,15,15,4-20-2022,Oahu,Synthetic Oahu Site 390,,5,Agroforestry,2010-present,Unmanaged forest,#N/A,,#N/A,,,,,,,,Orchard/tree crop,None,0-250 lb/ac/yr,,,,#VALUE!,,,,,Disc,,Unkonwn,,,"Mulch (woodchip, leaf litter, other organic material)",Nansepsep,21.499254,-158.051876,,,UPIAL,PIAL,,Vertisol,Haplustoll,Argid,HAC,,1.58,15.690,58.93785679,75.22,2.08,4.76,192.97,76.36,17.83,0.08,#N/A,0.69,0.70,,,0.08,,0.1,68.43,#N/A,#N/A,,9,17.2356904,21.13,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7/10/2024,0.24,14
1393,C-Maiki,,,,Own,2023-0251,2017-43,017-0043-2021-0591,0,15,8/30/2023,Oahu,Synthetic Oahu Site 851,,2,Unmanaged/abandoned,2009-2022,Silvopasture,#N/A,,#N/A,,,,,156,2.77,Weeds/Unmanaged,Commercial veg/fruits,Mineral,,,,,,,,,,Disc,,Yes,No,Sprinkle,,Lihue,21.279259,-158.296707,,,Protected forest,None,,Inceptisol,Gypitorrert,Udand,Sand,,2.81,30.330,,,15.60,6.23,178,,23.91,0.57,0.27,#N/A,0.22,,48.96,#N/A,#N/A,1.41,#N/A,#N/A,74.52,29.56,11.17391304,#N/A,10.7,,,,7.1,scoring_function_noPIALv2,10/15/2024
1713,AFRI-Hawaii,Baseline,Control,,Duamed Colon,2022-0154,2017-44,011-0022-2023-0052,0,15,9/27/2023,Big Island,Synthetic Big Island Site 959,,10,Cropland,,Cropland,#N/A,,,Pineapple or sugarcane plantation,,,,42,2,Cover crop/legumes,Commercial veg/fruits,Synthetic blend,250-500 lb/ac/yr,,,,,,,,,None,More than twice,No,No,Surface Drip,Weeds,Waialua,20.514110,-155.289462,,,Conventional cropland,PIAL,,Mollisol,,Ustoll,PNCM,,15.73,96.62,,18,25.92,7.73,,231.68,12.16,0.27,0.58,0.80,0.22,0.92,65.94,#N/A,2.00,0.82,#N/A,#N/A,#N/A,79.29,7.157894737,#N/A,2.64,,,,7/9/2024,scoring_function_noPIALv2,
900,Kākoʻo ʻŌiwi,WSARE-2019,,,Other,2022-0206,2017-45,011-0001-2024-0316,0,15,4/7/21,Big Island,Synthetic Big Island Site 986,,60,Plantain,2022-2023,Protected forest,,#N/A,,,,,,T3B,,Unmanaged forest,,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,Disc,More than twice,Yes,No,Surface Drip,Weeds,Wahiawa,21.693521,-160.119096,,,Agroforestry,PIAL,,Oxisol,,Ustept,HAC,,1.28,36.435,41.85101806,28.69,13.93,7.49,73,147.52,1.726047402,0.82,,0.10,0.74,1.48,,2.94,4.00,0.15,54.69,#N/A,#N/A,,13.3697479,#N/A,,,,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,3/9/2022,,10/15/2024
2001,CIG-2020,,,,Own,2023-0331,2017-46,011-0074-2022-0076,0,15,2/18/2022,,Synthetic Hawaii Site 753,,28,Plantain,2009-2022,Protected forest,,Cropland,#N/A,,,,,OK Farms Plot 1 sample 1,5,Orchard/tree crop,No change,None,"1,000 lb/ac/yr - 1 ton/ac/yr",Lime,#VALUE!,,,,,,#VALUE!,"Disc harrow, Roto",n/a,Yes,Yes,None,Bare soil,Waialua,19.404036,-154.873598,,,,None,,Oxisol,Haplustox,Ustand,PNCM,,,33.55,12.77,14.84,8.68,8.32,1592.37,89.54,,0.61,#N/A,0.74,0.53,,,4.98,1.50,0.48,10.59,#N/A,#N/A,32.05,,#N/A,27.18,,,https://docs.google.com/spreadsheets/d/1mlqU9zH13GHF_afZSs_ju9Wjtxa9TrjZFf9XEAViy30/edit#gid=1076234648,7.5,,10/15/2024
961,,,,,,2023-0365,2017-47,007-0031-2020-0277,0,15,8/7/2020,Oahu,Synthetic Oahu Site 120,,38.39,Cropland,1940-2023,,1976-2016,#N/A,#N/A,,,,,Lot 16 control 5,,Other,Forage,Natural farming practices,n/a,,,,,,,,,None,,Unkonwn,Yes,None,Weeds,Ookala,21.364529,-158.163570,,,,,,Vertisol,Haplustoll,Cambid,HAC,,0.94,26.820,224.19,45.13,-0.32,4.87,1522.77,76.41,0.75,0.08,0.84,0.75,0.46,,78.68581274,,#N/A,0.91,,#N/A,41.31,333,7.210526316,#N/A,9.77,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,13
1070,HICSC,WSARE-2019,,,Own,2022-0013,2017-48,008-0023-2018-0336,,15,2/5/2020,Oahu,Synthetic Oahu Site 901,,2,Unmanaged/abandoned,10+ years,No Change,2003-2015,#N/A,not available,,1950-1975,,,105,,Commercial veg/fruits,Forage,Manures,"500-1,000 lb/ac/yr",,,,,,,,,Spader,Other,No,Yes,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Kemole,21.636593,-158.211581,,,Agroforestry,PIAL,,Ultisol,Palehumult,Udand,HAC,,7.28,60.21,,16.19442774,20.22,5.68,196.00,253.52,26.94,0.88,,,0.45,,26.37,#N/A,1.00,1.32,7.56,54.1684807,46.65,39.67,13.51633987,12.40169773,17.94,,,https://docs.google.com/spreadsheets/d/16vOfuaO-7wjY4aZkgjh6N8wdHOK1Ohe130j1QIxvXms/edit?usp=sharing,,,10/15/2024
1111,CIG-2020,Baseline,,,Own,2022-0137,2017-49,016-0097-2022-0186,5,20,8/12/2019,Big Island,Synthetic Big Island Site 768,,2,Agroforestry,100 yr+,Cropland,1994-2013,,unknown,,,,,T2B,,Cover crop/legumes-canavalia,Commercial veg/fruits,None,,,#VALUE!,,,,,,,,,No,No,Sprinkle,,Kainaliu,21.728086,-156.832006,,,Organic cropland,PIAL,Low,Inceptisol,Haplustoll,Udand,HAC,,5.15,30.400,81.08,38.95215493,,8.16,593.4,124.58,,#N/A,0.02,0.02,,0.85,87.8842,0.48,#N/A,0.98,,,,24.79,9.416666667,13.34,13.74,,Done,31.96,7/9/2024,0.28,
1656,Hannah Hubanks,Baseline,,,,298,2017-50,004-0152-2023-0174,0,15,2/18/2022,Pohnpei,Synthetic Pohnpei Site 185,,5.6,Cropland,2006-present,Protected forest,#N/A,,,,,,,Control 2 - Section E,0.044,Weeds/Unmanaged,No change,Synthetic blend,,,,,,,,,,,Other,No,Yes,Sprinkle,Weeds,Lolekaa,21.640506,-158.446485,,,Protected forest,PIAL,,Vertisol,Haplustert,Udand,PNCM,,1.37,134.26,208.252685,12.42,3.41,5.8,500,80.01,,0.77,0.73,0.43,0.40,,21.3963163,#N/A,#N/A,0.19,#N/A,,,18.82,9.736842105,#N/A,9.16,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,8.1,scoring_function_noPIALv2,29
458,Mark Thorne,,Control,,Duamed Colon,447,2017-51,025-0019-2024-0332,0,15,7/5/2024,Oahu,Synthetic Oahu Site 637,,23,Orchard,2002-2024,Cropland,10+ years,1880-2001,,,,,,10-4,.008 Acres,Orchard/tree crop,Unmanaged forest,Synthetic blend,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,,None,,,No,None,Bare_soil,Lahaina,21.432601,-157.806241,,,Organic cropland,None,,Oxisol,,Ustox,LAC,,8.37,212.486,42.58,20.68,,5.87,372.53,59.25,3.17,,0.66,,0.61,1.113,44.43,0.00,1.50,0.09,#N/A,22.1851312,15.34,63.85778251,,,11.78,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,scoring_function_noPIALv2,10/15/2024
220,AFRI-2020,Round 2,,,,2022-0156,2017-52,011-0074-2023-0309,0,15,2/5/2024,Maui,Synthetic Maui Site 563,,0.49,Unmanaged forest,2019-2021,Unmanaged forest,2011-2018,#N/A,,,,,,Plot A Cam+Cam 4,,Weeds/Unmanaged,Agroforestry,Synthetic blend,,,,,,,,,,None,,No,Yes,,"Mulch (woodchip, leaf litter, other organic material)",Pulehu,20.883203,-156.359182,,,Conventional cropland,None,,Andisol,,Argid,HAC,,1.34,54.5928,113.46,,13.4,6.09,57.39,71.05,10.84,0.43,0.84,0.12,0.14,,32.41331206,#N/A,#N/A,0.09,#N/A,0,9.16,,10.44444444,10.6,11.48,,,#N/A,3/9/2022,scoring_function_noPIALv2,10/15/2024
180,AFRI-2020,WSARE-2019,,,,2025-0205,2017-53,024-0237-2023-0453,0,15,12/2/2022,Oahu,Synthetic Oahu Site 328,,23,Managed forest,1985-2021,Cropland,#N/A,,,,1850-1950,,,P8-cover crop-Cover Mix,2.26,Nothing/bare fallow,No change,Synthetic blend- liquid,#VALUE!,,,,,,#VALUE!,,,None,,No,No,None,Weeds,Lolekaa,21.587807,-157.829281,,,UPIAL,PIAL,,,Kandiudox,,PNCM,,3.58,24.00,30.19,44.54,60.22,,137.8,228.46,28.66,0.15,0.11,0.70,0.25,,,,0.00,0.14,#N/A,#N/A,#N/A,177,10.67,#N/A,8.65,,,16.71,7.8,scoring_function_noPIALv2,10/15/2024
1275,CIG-2020,,,,Lease,519,2017-54,001-0003-2017-0016,0,15,7/10/2024,Oahu,Synthetic Oahu Site 199,,10 acres,Managed forest,2019-curent,Unmanaged/abandoned,#N/A,#N/A,NA,,,,,118,0.25,Unmanaged forest,No change,None,,,"500-1,000 lb/ac/yr",,,,,,,,,No,No,Sprinkle,Bare soil,,21.625528,-157.670953,,,Mixed conventional and organic,PIAL,,Oxisol,Ustifolist,Torrert,PNCM,,1.45,,52.91,35.56,68.84,6.85,819.32,127.13,5.065457546,0.49,0.70,0.14,0.08,1.49,26.88,,#N/A,0.78,,#N/A,0.17,28.7,11.76190476,#N/A,5.3,,Done,https://docs.google.com/spreadsheets/d/1oCGqbjI7hSCgkNGZzrmZXamsPtmpQf8Vs2yZ1rgnHFA/edit#gid=1076234646,7/10/2024,scoring_function_noPIALv2,98
41,SSH,,,,Lease,293,2017-55,002-0019-2019-0138,0,15,2/5/2021,Big Island,Synthetic Big Island Site 511,,22,Agroforestry,1950-2021,,#N/A,Pineapple or sugarcane plantation,2010-2018,,,,,,2.1,Weeds/Unmanaged,Unmanaged forest,Gypsum,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,Yes,Surface Drip,Weeds,La Luna,20.988691,-157.059911,,,UPIAL,PIAL,,Ultisol,Haplustoll,Torrert,HAC,,1.18,124.8192794,,34.52,286.46,5.52,456.41,64.20,6.73,0.80,,0.07,0.51,0.85,,1.77,,0.67,9.14,132.4099991,,393.52,,#N/A,,,Done,https://docs.google.com/spreadsheets/d/1vLahl-Zrg3l4zW2P4mJ5R681o6WIAZl2fB0l5l58x-s/edit#gid=1076234646,3/9/2022,scoring_function_noPIALv2,10/15/2024
,CIG-2020,Round 1,,,Other,2021-0628,2017-56,023-0011-2024-0017,0,15,4-20-2022,Puerto Rico,Synthetic Puerto Rico Site 485,,,Orchard,1994-current,Unmanaged forest,,#N/A,,,,,,112,201 ft,guinea/torpedo grass,Orchard/tree crop,None,0-250 lb/ac/yr,,#VALUE!,,,,,,,Disc,More than twice,No,Yes,None,,Makiki,21.466553,-159.031930,,,Pasture,Yes,,Aridisol,,,HAC,,4.49,337.078,30.44,55.94,7.65,6.51,458.51,126.6,,0.31,0.32,0.19,0.75,,79.75,0.10,#N/A,0.8,#N/A,13.63412506,44.08,115.64,12.17,11.48074812,3.99,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,scoring_function_noPIALv2,
802,CIG-2020,,,,,2024-0004,2017-57,017-0001-2023-0091,0,15,8/7/2020,Pohnpei,Synthetic Pohnpei Site 854,,372.45,Cropland,18 years,,#N/A,Pasture,#N/A,,,,,Avocado,2,Commercial veg/fruits,Commercial veg/fruits,Synthetic blend,250-500 lb/ac/yr,,,,,,,,,Disc,Twice yearly,Yes,No,Sprinkle,Weeds,Haliimaile,21.281664,-159.028866,,,Protected forest,PIAL,,Vertisol,Haplustoll,Ustand,HAC,,0.92,398.8872543,28.67,41,10.19,5.31,1011.39,153.02,91.93334213,0.03,0.14,0.22,#N/A,0.80,30.67,,#N/A,1.41,,58.31,#N/A,24.24,13.58,59.35,,,,,3/9/2022,0.01,10/15/2024
695,Hannah Hubanks,,,,,2023-0392,2017-58,016-0040-2021-0577,0,15,11-04-18,Puerto Rico,Synthetic Puerto Rico Site 412,,6,Cropland,2000-2021,Cropland,,Cropland,,,,,,Hawaii Golden Control 2,10,Row crop monoculture,Grass/weeds/unmanaged,Synthetic blend,,,,,#VALUE!,,,,,None,More than twice,No,Yes,None,Weeds,Waialua,21.671892,-157.541799,,,Conventional cropland,None,,Ultisol,,,PNCM,,0.46,111.72,39.74519034,18.78,176.16,6.83,1957.72,132.55,0.27,0.13,#N/A,0.82,#N/A,,36.18078737,1.80,0.00,1.04,#N/A,#N/A,#N/A,317.08,11.66037736,8.76,89.53,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,7.7,scoring_function_noPIALv2,10/15/2024
1790,CIG-2020,,,,,2024-0424,2017-59,001-0001-2017-0003,0,15,8/27/2024,Puerto Rico,Synthetic Puerto Rico Site 951,,27.31,Unmanaged/abandoned ag land,2008-2022,Cropland,,,1889-1949,Unmanaged/abandoned,,,,26,10,,Commercial veg/fruits,Surface drip,,,,,,,,,,Disc,,No,Yes,Surface Drip,"Living mulch, Mulch (woodchip, leaf litter, other organic material), Weed mat",Helemano,19.364201,-158.430336,,,Conventional cropland,PIAL,,Ultisol,Haplustox,Aquept/Humolt,HAC,,8.84,159.557,,5.83,0.59,6.46,400.20,107.11,1.15,0.85,0.21,0.56,0.07,0.57,62.12,#N/A,#N/A,0.14,#N/A,#N/A,49.77,55.78,11.4587156,#N/A,5.09,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,,scoring_function_noPIALv2,10/15/2024
1149,CIG-2020,,,,,2023-0048,2017-60,011-0124-2025-0091,0,15,7/9/2024,Kauai,Synthetic Kauai Site 235,,128,horticulutral and vegetable,2022-2023,Cropland,#N/A,,1999-previous,,,,,,2.1,Commercial veg/fruits,Protected forest,Synthetic blend,,,#VALUE!,,,,,,,Spader,,Yes,Yes,None,Weeds,Wahiawa,22.232863,-159.809423,,,Pasture,None,,Mollisol,Haplustox,,HAC,,1.29,325.53,44.35,7.22,71.33,6.75,5939.8,79.74,5.701245374,0.71,0.10,0.86,0.88,,#N/A,0.13,0.00,0.25,,#N/A,#N/A,,10.41176471,,,,Done,23.93,,0.35,10/15/2024
1635,Department of Health,,,,,2024-0390,2017-61,024-0227-2023-0443,0,15,2/19/2024,Puerto Rico,Synthetic Puerto Rico Site 291,,6,Orchard,1950-2021,Protected forest,1994-2013,Pineapple or sugarcane plantation,,,,,,P4,5,Orchard/tree crop,Commercial veg/fruits,None,0-250 lb/ac/yr,,,,,,,,#VALUE!,,More than twice,Yes,No,None,Plastic Mulch,Lualualei,20.141668,-158.285095,,,Conventional cropland,PIAL,,Mollisol,,,HAC,,19.48,63.301,26.83,,1.61,7.52,1334,82.07,29.66,#N/A,0.27,,0.84,1.14,48.45,2.46,0.25,1.50,#N/A,11.82,16.18,21.96,11.33,26.49880659,16.35,,Done,,3/9/2022,scoring_function_noPIALv2,
1184,SSH,Round 3,,,Own,2024-0028,2017-62,017-0043-2021-0624,0,15,12/16/2021,Big Island,Synthetic Big Island Site 044,,9,Cropland,2017-2021,Cropland,,#N/A,#N/A,,,,,7-3,2,Row crop monoculture,Commercial veg/fruits,"granular, organic and Syntetic",0-250 lb/ac/yr,,,,,,#VALUE!,,,None,None,No,No,None,"Mulch (woodchip, leaf litter, other organic material)",,20.630038,-159.360171,,,Pasture,None,,Mollisol,Haplustox,Ustox,PNCM,,1.70,128.3067,102.29,16.87,,7.01,87.79,,,#N/A,0.71,0.82,0.47,0.66,38.13,#N/A,#N/A,0.14,#N/A,#REF!,#N/A,16.88,,5.1481394,7.6,,,,,scoring_function_noPIALv2,
543,Magoon,,,,Own,2023-0253,2017-63,011-0022-2023-0033,0,15,9/19/2023,Maui,Synthetic Maui Site 678,,,Orchard,2000-2019,Unmanaged/abandoned,#N/A,,,,,,,,,Agroforestry,Commercial veg/fruits,Synthetic blend,,,,,#VALUE!,,,,#VALUE!,None,,No,No,Sprinkle,Weeds,Humatas,21.027304,-156.140059,,,Conventional cropland,PIAL,,Aridisol,Torriorthent,,PNCM,,9.10,45.16,,78.12,118.97,8.07,625.58,,,0.34,0.33,,0.28,,55.45075114,0.43,,0.19,13.19,,27.32,,12.86554622,15.06,3.64,,,43,7.6,scoring_function_noPIALv2,7
1727,CIG-2020,,,,Lease,420,2017-64,001-0003-2017-0017,0,15,11/07/2023,Oahu,Synthetic Oahu Site 085,,23,crop land,1994-current,Unmanaged/abandoned ag land,#N/A,,,,,,,CM2,60,"kikuyu, rhodes, clover, treefoil, purprle vitch, orchard grass, yorkshire fog",Grass/weeds/unmanaged,None,,,,,,,#VALUE!,,,None,,Yes,Yes,None,Weeds,Ookala,21.393646,-157.660618,,,Conventional cropland,PIAL,,Histosol,Haplustand,Ustoll,PNCM,,6.7,120.786,93.56,5.12,10.51,6.52,202.22,104.1,3.305675059,0.85,0.51,0.82,0.68,1.16,72.6031,13.36,10.75,1.22,,#N/A,,38.7,10.82,6.933741468,5.39,,,,3/9/2022,,#N/A
997,SSH,WSARE-2019,,,Lease,2023-0088,2017-65,014-0032-2021-0528,0,15,12/14/2022,Oahu,Synthetic Oahu Site 233,,22,Cropland,1800's - 2022,Cropland,#N/A,Agroforestry,#N/A,,,,,Ho Farm Vegetable Control 3,0.044,Orchard/tree crop,No change,None,,,,,,,,,,Spader,,No,Yes,None,"
leaf residue",Hanalei-Lolekaa,21.400207,-157.844741,,,Conventional cropland,None,,Oxisol,,Udox,HAC,,0.82,32.94,,,196.56,4.56,520.38,93.65,6.58,0.59,0.30,0.66,0.01,1.23,89.3,#N/A,0.25,0.14,37.62,,#N/A,55.21,12.89010989,#N/A,2.43,,Done,12.17,3/9/2022,scoring_function_noPIALv2,10/15/2024
923,Department of Health,,,,Lease,SH-NEEM-45,2017-66,007-0005-2021-0464,0,15,12/13/2023,Pohnpei,Synthetic Pohnpei Site 908,,15,Agroforestry,2006-present,Pasture,Pineapple or sugarcane plantation,#N/A,#N/A,,,,,Plot 9 compost 3,2,Protected forest,Commercial veg/fruits,Bone/blood meal,,,,,,,,,,None,,,No,Surface Drip,Weeds,La Luna,21.608022,-158.111740,,,Conventional cropland,PIAL,,Andisol,Haplustand,Ustoll,LAC,,1.83,15.802,18.99,7.06,141.79,6.77,,67.41,1.45,,0.79,0.42,0.12,0.9375,76.1044,#N/A,,0.06,#N/A,#N/A,11.30,50.23,12.9,#N/A,6.06,#N/A,#N/A,,7.5,0.22,#N/A
1859,CIG-2020,,,,Own,2022-0058,2019-076,011-0124-2024-0262,0,15,9/23/2019,,Synthetic Hawaii Site 331,,62,Cropland,2009-2022,No Change,#N/A,#N/A,#N/A,,,,,,4.9,Unmanaged forest,No change,None,"500-1,000 lb/ac/yr",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,More than twice,No,No,None,Bare soil,La Luna,20.913827,-157.273784,,,Organic cropland,PIAL,,Ultisol,Calciargid,Torrert,HAC,,1.41,23.670,70.22687403,35.18,,7.3,2141.51,93.37,,0.43,0.56,0.33,0.25,,32.16,,#N/A,0.19,#N/A,#N/A,0.49,,10.14,10.84739841,10.13,,Done,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,10/15/2024
505,Magoon,,,,Other,2024-0206,2019-077,008-0023-2018-0322,0,15,,Pohnpei,Synthetic Pohnpei Site 527,,117,,1950-2023,Cropland,#N/A,,#N/A,,,,,10,5,Row crop monoculture,Unmanaged forest,,,,,,,,#VALUE!,,,None,,No,No,Surface Drip,Weeds,Ookala,19.662741,-156.377693,,,Protected forest,None,,Oxisol,Gypitorrert,Humult,HAC,,2.07,20.98,68.87,,42.66,8.26,1804.75098,110.56,19.23358271,,0.51,0.78,0.01,0.7,,#N/A,#N/A,0.12,52.25,#N/A,#N/A,73,11.59090909,#N/A,7.24,,Done,#N/A,8,,10/15/2024
